name,nominations,wins
Mervyn LeRoy,1,0
Barry Levinson,1,1
Richard Linklater,1,0
Anatole Litvak,1,0
Frank Lloyd,1,2
Joshua Logan,2,0
Kenneth Lonergan,1,0
Ernst Lubitsch,3,0
George Lucas,2,0
Sidney Lumet,4,0
David Lynch,3,0
Adrian Lyne,1,0
Leo McCarey,1,2
Tom McCarthy,1,0
Adam McKay,1,0
Steve McQueen,1,0
John Madden,1,0
Terrence Malick,2,0
Louis Malle,1,0
Joseph L. Mankiewicz,2,2
Delbert Mann,0,1
Michael Mann,1,0
Rob Marshall,1,0
Fernando Meirelles,1,0
Sam Mendes,0,1
Lewis Milestone,1,2
Bennett Miller,2,0
George Miller,1,0
Anthony Minghella,0,1
Vincente Minnelli,1,1
Edouard Molinaro,1,0
Robert Mulligan,1,0
Jean Negulesco,1,0
Mike Nichols,3,1
Christopher Nolan,1,0
Chris Noonan,1,0
Laurence Olivier,1,0
Alan J. Pakula,1,0
Alan Parker,2,0
Alexander Payne,3,0
Jordan Peele,1,0
Arthur Penn,3,0
Frank Perry,1,0
Wolfgang Petersen,1,0
Roman Polanski,2,1
Sydney Pollack,2,1
Gillo Pontecorvo,1,0
Otto Preminger,2,0
Michael Radford,1,0
Robert Redford,1,1
Carol Reed,2,1
Jason Reitman,2,0
Jean Renoir,1,0
Tony Richardson,0,1
Martin Ritt,1,0
Jerome Robbins,0,1
Tim Robbins,1,0
Mark Robson,2,0
Herbert Ross,1,0
Robert Rossen,2,0
Wesley Ruggles,1,0
Richard Rush,1,0
David O. Russell,3,0
Ken Russell,1,0
Mark Rydell,1,0
Franklin J. Schaffner,0,1
Victor Schertzinger,1,0
John Schlesinger,2,1
Julian Schnabel,1,0
Barbet Schroeder,1,0
Martin Scorsese,7,1
Ridley Scott,3,0
George Seaton,1,0
Jim Sheridan,2,0
M. Night Shyamalan,1,0
John Singleton,1,0
Robert Siodmak,1,0
Steven Soderbergh,0,1
Steven Spielberg,5,2
George Stevens,3,2
Robert Stevenson,1,0
Oliver Stone,1,2
John Sturges,1,0
Quentin Tarantino,2,0
Norman Taurog,1,1
Hiroshi Teshigahara,1,0
Jan Troell,1,0
Francois Truffaut,1,0
Morten Tyldum,1,0
W. S. Van Dyke,2,0
Gus Van Sant,2,0
King Vidor,5,0
Denis Villeneuve,1,0
Josef Von Sternberg,2,0
Charles Walters,1,0
Peter Weir,4,0
Orson Welles,1,0
William Wellman,3,0
Lina Wertmüller,1,0
Ted Wilde,1,0
Billy Wilder,6,2
Robert Wise,1,2
Sam Wood,3,0
William Wyler,9,3
Peter Yates,2,0
Franco Zeffirelli,1,0
Benh Zeitlin,1,0
Robert Zemeckis,0,1
Fred Zinnemann,5,2
