name,nominations,wins
Nicolas Cage,1,1
James Cagney,2,1
Michael Caine,4,2
Louis Calhern,1,0
Dyan Cannon,2,0
Steve Carell,1,0
Harry Carey,1,0
Lynn Carlin,1,0
Art Carney,0,1
Leslie Caron,2,0
Diahann Carroll,1,0
Nancy Carroll,1,0
Peggy Cass,1,0
John Cassavetes,1,0
Seymour Cassel,1,0
Richard Castellano,1,0
Keisha Castle-Hughes,1,0
George Chakiris,0,1
Timothée Chalamet,1,0
Jeff Chandler,1,0
Carol Channing,1,0
Stockard Channing,1,0
Charles Chaplin,1,1
Jessica Chastain,2,0
Ruth Chatterton,2,0
Don Cheadle,1,0
Michael Chekhov,1,0
Cher,1,1
Maurice Chevalier,1,0
Julie Christie,3,1
Thomas Haden Church,1,0
Diane Cilento,1,0
Candy Clark,1,0
Patricia Clarkson,1,0
Jill Clayburgh,2,0
Montgomery Clift,4,0
George Clooney,3,1
Glenn Close,6,0
Lee J. Cobb,2,0
Charles Coburn,2,1
James Coburn,0,1
James Coco,1,0
Claudette Colbert,2,1
Toni Collette,1,0
Patricia Collinge,1,0
Pauline Collins,1,0
Ronald Colman,2,1
Betty Compson,1,0
Jennifer Connelly,0,1
Sean Connery,0,1
Tom Conti,1,0
Bradley Cooper,3,0
Chris Cooper,0,1
Gary Cooper,3,2
Gladys Cooper,3,0
Jackie Cooper,1,0
Ellen Corby,1,0
Valentina Cortese,1,0
Kevin Costner,1,0
Marion Cotillard,1,1
Tom Courtenay,2,0
Jeanne Crain,1,0
Bryan Cranston,1,0
Broderick Crawford,0,1
Joan Crawford,2,1
Donald Crisp,0,1
James Cromwell,1,0
Hume Cronyn,1,0
Bing Crosby,2,1
Rupert Crosse,1,0
Lindsay Crouse,1,0
Russell Crowe,2,1
Tom Cruise,3,0
Penélope Cruz,2,1
Benedict Cumberbatch,1,0
Quinn Cummings,1,0
Tony Curtis,1,0
Joan Cusack,2,0
Willem Dafoe,3,0
Dan Dailey,1,0
John Dall,1,0
Matt Damon,3,0
Dorothy Dandridge,1,0
Bobby Darin,1,0
Jane Darwell,0,1
Jaye Davidson,1,0
Bette Davis,9,2
Geena Davis,1,1
Judy Davis,2,0
Viola Davis,2,1
Bruce Davison,1,0
Doris Day,1,0
Daniel Day-Lewis,3,3
James Dean,2,0
Ruby Dee,1,0
Olivia de Havilland,3,2
Benicio Del Toro,1,1
William Demarest,1,0
Judi Dench,6,1
Catherine Deneuve,1,0
Robert De Niro,5,2
Sandy Dennis,0,1
Gerard Depardieu,1,0
Johnny Depp,3,0
Bruce Dern,2,0
Laura Dern,2,0
Vittorio De Sica,1,0
Brandon De Wilde,1,0
Leonardo DiCaprio,4,1
Marlene Dietrich,1,0
Matt Dillon,1,0
Melinda Dillon,2,0
Richard Dix,1,0
Robert Donat,1,1
Brian Donlevy,1,0
Kirk Douglas,3,0
Melvyn Douglas,1,2
Michael Douglas,0,1
Brad Dourif,1,0
"Robert Downey, Jr.",2,0
Louise Dresser,1,0
Marie Dressler,1,1
Richard Dreyfuss,1,1
Bobby Driscoll,0,1
Minnie Driver,1,0
Jean Dujardin,0,1
Olympia Dukakis,0,1
Patty Duke,0,1
Faye Dunaway,2,1
Michael Clarke Duncan,1,0
James Dunn,0,1
Michael Dunn,1,0
Irene Dunne,5,0
Mildred Dunnock,2,0
Deanna Durbin,0,1
Charles Durning,2,0
Robert Duvall,6,1
Jeanne Eagels,1,0
Clint Eastwood,2,0
Samantha Eggar,1,0
Jesse Eisenberg,1,0
Chiwetel Ejiofor,1,0
Denholm Elliott,1,0
Hope Emerson,1,0
Stuart Erwin,1,0
Dame Edith Evans,3,0
Peter Falk,2,0
Vera Farmiga,1,0
Richard Farnsworth,2,0
Michael Fassbender,2,0
José Ferrer,2,1
Sally Field,1,2
Ralph Fiennes,2,0
Peter Finch,1,0
Frank Finlay,1,0
Albert Finney,5,0
Colin Firth,1,1
Peter Firth,1,0
Laurence Fishburne,1,0
Barry Fitzgerald,0,1
Geraldine Fitzgerald,1,0
Louise Fletcher,0,1
Nina Foch,1,0
Henry Fonda,1,1
Jane Fonda,5,2
Peter Fonda,1,0
Joan Fontaine,2,1
Lynn Fontanne,1,0
Harrison Ford,1,0
Frederic Forrest,1,0
Robert Forster,1,0
Jodie Foster,2,2
Jamie Foxx,0,1
Anthony Franciosa,1,0
James Franco,1,0
Morgan Freeman,4,1
Leonard Frey,1,0
Brenda Fricker,0,1
Clark Gable,2,1
Greta Garbo,3,0
Andy Garcia,1,0
Vincent Gardenia,2,0
Ava Gardner,1,0
Andrew Garfield,1,0
John Garfield,2,0
William Gargan,1,0
Judy Garland,2,1
James Garner,1,0
Peggy Ann Garner,0,1
Teri Garr,1,0
Greer Garson,6,1
Janet Gaynor,1,1
Michael V. Gazzo,1,0
Leo Genn,1,0
Chief Dan George,1,0
Gladys George,1,0
Paul Giamatti,1,0
Giancarlo Giannini,1,0
John Gielgud,1,1
Jack Gilford,1,0
Lillian Gish,1,0
Jackie Gleason,1,0
James Gleason,1,0
Paulette Goddard,1,0
Whoopi Goldberg,1,1
Thomas Gomez,1,0
"Cuba Gooding, Jr.",0,1
Dexter Gordon,1,0
Ruth Gordon,1,1
Ryan Gosling,2,0
"Louis Gossett, Jr.",0,1
Elliott Gould,1,0
Gloria Grahame,1,1
Cary Grant,2,0
Lee Grant,3,1
Bonita Granville,1,0
Graham Greene,1,0
Sydney Greenstreet,1,0
Joel Grey,0,1
Corinne Griffith,1,0
Hugh Griffith,1,1
Melanie Griffith,1,0
Rachel Griffiths,1,0
Alec Guinness,3,1
Edmund Gwenn,1,1
Jake Gyllenhaal,1,0
Maggie Gyllenhaal,1,0
Joan Hackett,1,0
Gene Hackman,3,2
Jean Hagen,1,0
Jackie Earle Haley,1,0
Grayson Hall,1,0
Tom Hanks,3,2
Marcia Gay Harden,1,1
Ann Harding,1,0
Tom Hardy,1,0
Tess Harper,1,0
Woody Harrelson,3,0
Barbara Harris,1,0
Ed Harris,4,0
Julie Harris,1,0
Naomie Harris,1,0
Richard Harris,2,0
Rosemary Harris,1,0
Rex Harrison,1,1
Elizabeth Hartman,1,0
Laurence Harvey,1,0
Anne Hathaway,1,1
Ethan Hawke,2,0
John Hawkes,1,0
Sally Hawkins,2,0
Goldie Hawn,1,1
Nigel Hawthorne,1,0
Sessue Hayakawa,1,0
Salma Hayek,1,0
Helen Hayes,0,2
Susan Hayward,4,1
Eileen Heckart,1,1
Lucas Hedges,1,0
Van Heflin,0,1
Mariel Hemingway,1,0
Justin Henry,1,0
Taraji P. Henson,1,0
Audrey Hepburn,4,1
Katharine Hepburn,8,4
Barbara Hershey,1,0
Charlton Heston,0,1
William Hickey,1,0
Jonah Hill,2,0
Wendy Hiller,2,1
Judd Hirsch,1,0
Dustin Hoffman,5,2
Philip Seymour Hoffman,3,1
Hal Holbrook,1,0
William Holden,2,1
Judy Holliday,0,1
Stanley Holloway,1,0
Celeste Holm,2,1
Ian Holm,1,0
Oscar Homolka,1,0
Anthony Hopkins,3,1
Miriam Hopkins,1,0
Dennis Hopper,1,0
Bob Hoskins,1,0
Djimon Hounsou,2,0
John Houseman,0,1
Leslie Howard,2,0
Terrence Howard,1,0
Trevor Howard,1,0
Jennifer Hudson,0,1
Kate Hudson,1,0
Rock Hudson,1,0
Felicity Huffman,1,0
Tom Hulce,1,0
Josephine Hull,0,1
Arthur Hunnicutt,1,0
Helen Hunt,1,1
Linda Hunt,0,1
Holly Hunter,2,1
Kim Hunter,0,1
Isabelle Huppert,1,0
John Hurt,2,0
William Hurt,3,1
Ruth Hussey,1,0
Anjelica Huston,2,1
John Huston,1,0
Walter Huston,3,1
Timothy Hutton,0,1
Martha Hyer,1,0
John Ireland,1,0
Jeremy Irons,0,1
Amy Irving,1,0
Burl Ives,0,1
Hugh Jackman,1,0
Glenda Jackson,2,2
Samuel L. Jackson,1,0
Richard Jaeckel,1,0
Sam Jaffe,1,0
Dean Jagger,0,1
Ivan Jandl,0,1
Allison Janney,0,1
Emil Jannings,0,1
"Claude Jarman, Jr.",0,1
Marianne Jean-Baptiste,1,0
Richard Jenkins,2,0
Glynis Johns,1,0
Ben Johnson,0,1
Celia Johnson,1,0
Angelina Jolie,1,1
Carolyn Jones,1,0
Felicity Jones,1,0
James Earl Jones,1,0
Jennifer Jones,4,1
Shirley Jones,0,1
Tommy Lee Jones,3,1
Katy Jurado,1,0
Madeline Kahn,2,0
Daniel Kaluuya,1,0
Ida Kaminska,1,0
Carol Kane,1,0
Diane Keaton,3,1
Michael Keaton,1,0
Lila Kedrova,0,1
Catherine Keener,2,0
Harvey Keitel,1,0
Cecil Kellaway,2,0
Sally Kellerman,1,0
Gene Kelly,1,0
Grace Kelly,1,1
Nancy Kelly,1,0
Anna Kendrick,1,0
Arthur Kennedy,5,0
George Kennedy,0,1
Deborah Kerr,6,0
Nicole Kidman,3,1
Rinko Kikuchi,1,0
Ben Kingsley,3,1
Greg Kinnear,1,0
Sally Kirkland,1,0
Kevin Kline,0,1
Shirley Knight,2,0
Keira Knightley,2,0
Alexander Knox,1,0
Susan Kohner,1,0
Miliza Korjus,1,0
Jack Kruschen,1,0
Diane Ladd,3,0
Jocelyne Lagarde,1,0
Christine Lahti,1,0
Burt Lancaster,3,1
Elsa Lanchester,2,0
Martin Landau,2,1
Diane Lane,1,0
Hope Lange,1,0
Jessica Lange,3,2
Frank Langella,1,0
Angela Lansbury,3,0
Brie Larson,0,1
Charles Laughton,2,1
Piper Laurie,3,0
Jude Law,2,0
Jennifer Lawrence,3,1
Cloris Leachman,0,1
Heath Ledger,1,0
Peggy Lee,1,0
Andrea Leeds,1,0
Eva Le Gallienne,1,0
Janet Leigh,1,0
Jennifer Jason Leigh,1,0
Vivien Leigh,0,2
Margaret Leighton,1,0
Jack Lemmon,6,2
Lotte Lenya,1,0
Melissa Leo,1,1
Michael Lerner,1,0
Jared Leto,0,1
Juliette Lewis,1,0
Laura Linney,3,0
John Lithgow,2,0
Sondra Locke,1,0
Gene Lockhart,1,0
Robert Loggia,1,0
Carole Lombard,1,0
Sophia Loren,1,1
Joan Lorring,1,0
Bessie Love,1,0
Paul Lukas,0,1
Alfred Lunt,1,0
Rachel McAdams,1,0
Mercedes McCambridge,1,1
Kevin McCarthy,1,0
Melissa McCarthy,1,0
Matthew McConaughey,0,1
Patty McCormack,1,0
Hattie McDaniel,0,1
Mary McDonnell,2,0
Frances McDormand,3,2
Elizabeth McGovern,1,0
Ali MacGraw,1,0
Dorothy McGuire,1,0
Ian McKellen,2,0
Victor McLaglen,1,1
Shirley MacLaine,4,1
Aline MacMahon,1,0
Maggie McNamara,1,0
Steve McQueen,1,0
Janet McTeer,2,0
William H. Macy,1,0
Amy Madigan,1,0
Virginia Madsen,1,0
Anna Magnani,1,1
Marjorie Main,1,0
Mako,1,0
Karl Malden,1,1
John Malkovich,2,0
Dorothy Malone,0,1
Joe Mantell,1,0
Lesley Manville,1,0
Rooney Mara,2,0
Fredric March,3,2
Colette Marchand,1,0
John Marley,1,0
Lee Marvin,0,1
James Mason,3,0
Marsha Mason,4,0
Daniel Massey,1,0
Raymond Massey,1,0
Mary Elizabeth Mastrantonio,1,0
Marcello Mastroianni,3,0
Marlee Matlin,0,1
Walter Matthau,2,1
Kay Medford,1,0
Adolphe Menjou,1,0
Vivien Merchant,1,0
Melina Mercouri,1,0
Burgess Meredith,2,0
Una Merkel,1,0
Laurie Metcalf,1,0
Bette Midler,2,0
Sarah Miles,1,0
Sylvia Miles,2,0
Penelope Milford,1,0
Ray Milland,0,1
Jason Miller,1,0
Hayley Mills,0,1
John Mills,0,1
Sal Mineo,2,0
Liza Minnelli,1,1
Helen Mirren,3,1
Thomas Mitchell,1,1
Robert Mitchum,1,0
Mo'Nique,0,1
Fernanda Montenegro,1,0
Robert Montgomery,2,0
Ron Moody,1,0
Dudley Moore,1,0
Grace Moore,1,0
Juanita Moore,1,0
Julianne Moore,3,1
Mary Tyler Moore,1,0
Terry Moore,1,0
Agnes Moorehead,4,0
Rita Moreno,0,1
Frank Morgan,2,0
Cathy Moriarty,1,0
Noriyuki 'Pat' Morita,1,0
Robert Morley,1,0
Chester Morris,1,0
Viggo Mortensen,2,0
Samantha Morton,2,0
Armin Mueller-Stahl,1,0
Carey Mulligan,1,0
Paul Muni,5,1
Eddie Murphy,1,0
Bill Murray,1,0
Don Murray,1,0
J. Carrol Naish,2,0
Mildred Natwick,1,0
Patricia Neal,1,1
Liam Neeson,1,0
Ruth Negga,1,0
Kate Nelligan,1,0
Paul Newman,8,1
Haing S. Ngor,0,1
Jack Nicholson,9,3
David Niven,0,1
Nick Nolte,3,0
Edward Norton,3,0
Lupita Nyong'o,0,1
Jack Oakie,1,0
Merle Oberon,1,0
Edmond O'Brien,1,1
Margaret O'Brien,0,1
Arthur O'Connell,2,0
Dan O'Herlihy,1,0
Michael O'Keefe,1,0
Sophie Okonedo,1,0
Gary Oldman,1,1
Lena Olin,1,0
Edna May Oliver,1,0
Laurence Olivier,9,1
Edward James Olmos,1,0
Nancy Olson,1,0
Ryan O'Neal,1,0
Tatum O'Neal,0,1
Barbara O'Neil,1,0
Haley Joel Osment,1,0
Peter O'Toole,8,0
Maria Ouspenskaya,2,0
Clive Owen,1,0
Al Pacino,6,1
Ellen Page,1,0
Geraldine Page,7,1
Jack Palance,2,1
Chazz Palminteri,1,0
Gwyneth Paltrow,0,1
Anna Paquin,0,1
Eleanor Parker,3,0
Larry Parks,1,0
Estelle Parsons,1,1
Dev Patel,1,0
Marisa Pavan,1,0
Katina Paxinou,0,1
David Paymer,1,0
Gregory Peck,4,1
Sean Penn,3,2
Rosie Perez,1,0
Anthony Perkins,1,0
Valerie Perrine,1,0
Joe Pesci,1,1
Susan Peters,1,0
Michelle Pfeiffer,3,0
Joaquin Phoenix,3,0
River Phoenix,1,0
Mary Pickford,0,1
Walter Pidgeon,2,0
Rosamund Pike,1,0
Brad Pitt,3,0
Joan Plowright,1,0
Christopher Plummer,2,1
Sidney Poitier,1,1
Michael J. Pollard,1,0
Natalie Portman,2,1
Pete Postlethwaite,1,0
William Powell,3,0
Robert Preston,1,0
Randy Quaid,1,0
Anthony Quayle,1,0
Queen Latifah,1,0
Kathleen Quinlan,1,0
Anthony Quinn,2,2
Luise Rainer,0,2
Claude Rains,4,0
Marjorie Rambeau,2,0
Charlotte Rampling,1,0
Anne Ramsey,1,0
Basil Rathbone,2,0
Stephen Rea,1,0
Robert Redford,1,0
Lynn Redgrave,2,0
Michael Redgrave,1,0
Vanessa Redgrave,5,1
Joyce Redman,2,0
Eddie Redmayne,1,1
Donna Reed,0,1
John C. Reilly,1,0
Lee Remick,1,0
Jeremy Renner,2,0
Anne Revere,2,1
Burt Reynolds,1,0
Debbie Reynolds,1,0
Beah Richards,1,0
Miranda Richardson,2,0
Ralph Richardson,1,0
Thelma Ritter,6,0
Emmanuelle Riva,1,0
Jason Robards,1,2
Margot Robbie,1,0
Tim Robbins,0,1
Eric Roberts,1,0
Julia Roberts,3,1
Rachel Roberts,1,0
Cliff Robertson,0,1
Flora Robson,1,0
May Robson,1,0
Sam Rockwell,0,1
Ginger Rogers,0,1
"Howard E. Rollins, Jr.",1,0
Saoirse Ronan,3,0
Mickey Rooney,4,1
Diana Ross,1,0
Katharine Ross,1,0
Tim Roth,1,0
Mickey Rourke,1,0
Gena Rowlands,2,0
Mercedes Ruehl,0,1
Mark Ruffalo,3,0
Geoffrey Rush,3,1
Harold Russell,0,1
Rosalind Russell,4,0
Margaret Rutherford,0,1
Amy Ryan,1,0
Robert Ryan,1,0
Winona Ryder,2,0
Mark Rylance,0,1
Eva Marie Saint,0,1
George Sanders,0,1
Catalina Sandino Moreno,1,0
Chris Sarandon,1,0
Susan Sarandon,4,1
Telly Savalas,1,0
Diana Scarwid,1,0
Roy Scheider,2,0
Maximilian Schell,2,1
Joseph Schildkraut,0,1
Paul Scofield,1,1
George C. Scott,3,1
Martha Scott,1,0
Kristin Scott Thomas,1,0
George Segal,1,0
Peter Sellers,2,0
Chloë Sevigny,1,0
Michael Shannon,2,0
Omar Sharif,1,0
Robert Shaw,1,0
Norma Shearer,4,1
Sam Shepard,1,0
Talia Shire,2,0
Anne Shirley,1,0
Elisabeth Shue,1,0
Gabourey Sidibe,1,0
Sylvia Sidney,1,0
Simone Signoret,1,1
J.K. Simmons,0,1
Jean Simmons,2,0
Frank Sinatra,1,1
Gary Sinise,1,0
Lilia Skala,1,0
Maggie Smith,4,2
Will Smith,2,0
Carrie Snodgress,1,0
Gale Sondergaard,1,1
Mira Sorvino,0,1
Ann Sothern,1,0
Sissy Spacek,5,1
Kevin Spacey,0,2
Octavia Spencer,2,1
June Squibb,1,0
Robert Stack,1,0
Sylvester Stallone,2,0
Terence Stamp,1,0
Kim Stanley,2,0
Barbara Stanwyck,4,0
Maureen Stapleton,3,1
Imelda Staunton,1,0
Mary Steenburgen,0,1
Rod Steiger,2,1
Hailee Steinfeld,1,0
James Stephenson,1,0
Jan Sterling,1,0
James Stewart,4,1
Dean Stockwell,1,0
Emma Stone,1,1
Lewis Stone,1,0
Sharon Stone,1,0
Beatrice Straight,0,1
Lee Strasberg,1,0
David Strathairn,1,0
Robert Strauss,1,0
Meryl Streep,18,3
Barbra Streisand,1,1
Gloria Stuart,1,0
Margaret Sullavan,1,0
Janet Suzman,1,0
Hilary Swank,0,2
Gloria Swanson,3,0
Tilda Swinton,0,1
Russ Tamblyn,1,0
Akim Tamiroff,2,0
Jessica Tandy,1,1
Elizabeth Taylor,3,2
Shirley Temple,0,1
Charlize Theron,1,1
Emma Thompson,2,1
Billy Bob Thornton,2,0
Uma Thurman,1,0
Lawrence Tibbett,1,0
Gene Tierney,1,0
Jennifer Tilly,1,0
Meg Tilly,1,0
Richard Todd,1,0
Marisa Tomei,2,1
Lily Tomlin,1,0
Franchot Tone,1,0
Topol,1,0
Rip Torn,1,0
Lee Tracy,1,0
Spencer Tracy,6,2
Henry Travers,1,0
John Travolta,2,0
Claire Trevor,2,1
Massimo Troisi,1,0
Stanley Tucci,1,0
Tom Tully,1,0
Kathleen Turner,1,0
Lana Turner,1,0
Susan Tyrrell,1,0
Cicely Tyson,1,0
Liv Ullmann,2,0
Miyoshi Umeki,0,1
Mary Ure,1,0
Peter Ustinov,1,2
Brenda Vaccaro,1,0
Jo Van Fleet,0,1
Diane Varsi,1,0
Robert Vaughn,1,0
Alicia Vikander,0,1
Jon Voight,3,1
Erich von Stroheim,1,0
Max von Sydow,2,0
Mark Wahlberg,1,0
Christopher Walken,1,1
Quvenzhané Wallis,1,0
Julie Walters,2,0
Christoph Waltz,0,2
Jack Warden,2,0
H. B. Warner,1,0
Lesley Ann Warren,1,0
Denzel Washington,6,2
Ken Watanabe,1,0
Ethel Waters,1,0
Sam Waterston,1,0
Emily Watson,2,0
Lucile Watson,1,0
Naomi Watts,2,0
John Wayne,1,1
Jacki Weaver,2,0
Sigourney Weaver,2,0
Clifton Webb,3,0
Rachel Weisz,0,1
Tuesday Weld,1,0
Orson Welles,1,0
Oskar Werner,1,0
Forest Whitaker,0,1
Jon Whiteley,0,1
Stuart Whitman,1,0
James Whitmore,2,0
Dame May Whitty,2,0
Richard Widmark,1,0
Dianne Wiest,1,2
Jack Wild,1,0
Cornel Wilde,1,0
Gene Wilder,1,0
Tom Wilkinson,2,0
Cara Williams,1,0
Michelle Williams,4,0
Robin Williams,3,1
Chill Wills,1,0
Paul Winfield,1,0
Oprah Winfrey,1,0
Debra Winger,3,0
Mare Winningham,1,0
Kate Winslet,6,1
Vincent Winter,0,1
Shelley Winters,2,2
Reese Witherspoon,1,1
Natalie Wood,3,0
Peggy Wood,1,0
Alfre Woodard,1,0
James Woods,2,0
Joanne Woodward,3,1
Monty Woolley,2,0
Teresa Wright,1,1
Margaret Wycherly,1,0
Jane Wyman,3,1
Ed Wynn,1,0
Diana Wynyard,1,0
Susannah York,1,0
Burt Young,1,0
Gig Young,2,1
Loretta Young,1,1
Roland Young,1,0
Renée Zellweger,2,1
Catherine Zeta-Jones,0,1
