mid,title,budget,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,thriller,war,western,original_language,production_companies,release_date,revenue,runtime,popularity,average_rating,num_votes,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,director_1,director_2,director_3
4248,Scary Movie 2,45000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Brad Grey Pictures and Gold/Miller Productions and Wayans Bros. Entertainment and Dimension Films and ,2001-07-04,141220678,83,25.764463,5.5,1437,1772,35705,35690,9562,35769,33676,212,4512,13472,19149,35689,-1,-1
644,A.I. Artificial Intelligence,100000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,en,Amblin Entertainment and Stanley Kubrick Productions and DreamWorks and Warner Bros. Pictures and ,2001-06-29,235926552,146,25.205175,6.9,2539,9640,1518,8213,9641,9642,227,2157,2282,5064,2632,488,-1,-1
855,Black Hawk Down,92000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,en,Jerry Bruckheimer Films and Revolution Studios and Scott Free Productions and ,2001-12-28,172989651,144,25.142449,7.2,2239,2299,3061,11355,3197,886,8783,1125,9880,2524,12790,578,-1,-1
1734,The Mummy Returns,98000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,Universal Pictures and Alphaville Films and Imhotep Productions and ,2001-04-28,433013274,130,24.781653,6.1,2835,18269,3293,10727,18041,16743,18920,18919,18918,2629,31164,7775,-1,-1
1018,Mulholland Drive,15000000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,en,Asymmetrical Productions and Les Films Alain Sarde and Babbo Inc. and The Picture Factory and Canal+ and ,2001-05-16,20117339,147,23.908317,7.7,2022,3489,15007,15008,6486,15009,15011,5694,15012,30123,9306,5602,-1,-1
634,Bridget Jones's Diary,25000000,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Miramax Films and Universal Pictures and Studio Canal and Working Title Films and Little Bird and ,2001-04-13,281929795,97,23.49795,6.6,1822,9137,5472,3291,9138,388,9145,9144,1834,6368,9146,9158,-1,-1
1903,Vanilla Sky,68000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,en,Paramount and Cruise-Wagner Productions and Vinyl Films and ,2001-12-10,203388341,136,23.28421,6.6,1416,500,955,6941,6856,11662,1284,9191,3063,19851,3128,11649,-1,-1
676,Pearl Harbor,140000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,en,Jerry Bruckheimer Films and Touchstone Pictures and ,2001-05-21,449220945,183,23.183136,6.6,2366,880,2299,3967,9777,10127,7447,3197,10128,10129,1125,865,-1,-1
4133,Blow,53000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,en,New Line Cinema and ,2001-04-04,83282296,124,22.544888,7.4,1742,85,955,824,11477,679,3052,5129,31384,7248,30488,34849,-1,-1
2034,Training Day,45000000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,en,WV Films II and Village Roadshow Pictures and NPV Entertainment and Outlaw Productions (I) and Warner Bros. Pictures and ,2001-10-05,104876233,122,22.101255,7.3,2067,5292,569,349,13022,1166,7248,19767,2041,8170,18461,20907,-1,-1
453,A Beautiful Mind,60000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Universal Pictures and Imagine Entertainment and DreamWorks and ,2001-12-11,313542341,135,22.100948,7.7,3892,934,228,6161,290,6162,6163,6164,6165,6166,6167,6159,-1,-1
9476,A Knight's Tale,65000000,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Black and Blu Entertainment and Escape Artists and Finestkind and Columbia Pictures and ,2001-05-11,117487473,132,21.771001,6.6,1185,1810,17328,27855,6162,42279,13633,21088,17648,82923,32559,4723,-1,-1
8835,Legally Blonde,18000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Marc Platt Productions and Metro-Goldwyn-Mayer and ,2001-07-13,141774679,96,21.742908,6.2,1182,368,36422,11826,56045,8536,38334,11318,17303,22126,10402,36797,-1,-1
869,Planet of the Apes,100000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,en,"Tim Burton Productions and Zanuck Company, The and 20th Century Fox and ",2001-07-25,362211740,119,21.109382,5.6,1609,13240,3129,1283,61981,10823,13241,13242,11398,13243,10017,510,-1,-1
2057,Original Sin,42000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Epsilon Motion Pictures and Hyde Park Entertainment and Via Rosa Productions and DiNovi Pictures and Intermedia Films and UGC DA International and Metro-Goldwyn-Mayer and ,2001-08-03,35402320,118,19.981063,5.8,271,11701,3131,21142,12536,21143,21144,21145,11155,21166,23873,21136,-1,-1
5175,Rush Hour 2,90000000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,New Line Cinema and ,2001-08-03,347325802,90,19.553028,6.4,1380,66,18897,1339,41901,58210,1896,11389,21045,7169,1166,11091,-1,-1
824,Moulin Rouge!,52500000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Bazmark Films and 20th Century Fox and ,2001-03-09,179213434,127,18.85206,7.5,1842,2227,3061,5723,388,12206,12211,12210,12212,10756,12209,6201,-1,-1
853,Enemy at the Gates,68000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,en,Swanford Films and Paramount and Mandalay Pictures and KC Medien and Reperage and DOS and Little Bird and MP Film Management and ,2001-03-14,96976270,131,18.7325,7.2,1311,9642,3293,228,12763,382,2372,10627,12764,4534,12765,2352,-1,-1
9428,The Royal Tenenbaums,21000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,Touchstone Pictures and ,2001-10-05,71441250,108,18.577588,7.4,1669,193,5657,7399,12052,36422,887,1532,2047,7447,5950,5655,-1,-1
2294,Jay and Silent Bob Strike Back,22000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax and Dimension Films and View Askew Productions and ,2001-08-22,33788161,104,16.831781,6.3,596,19303,19302,880,23630,23629,21596,13446,17303,23658,23659,19303,-1,-1
2114,Final Fantasy: The Spirits Within,137000000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,en,Square Pictures and Columbia Pictures and Chris Lee Productions and ,2001-07-02,85131830,106,16.778763,5.9,533,55636,21702,7447,10182,884,21703,4512,14500,65827,-1,21692,21693,-1
9880,The Princess Diaries,37000000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,en,Bottom of the Ninth Productions and Walt Disney Pictures and BrownHouse Productions and ,2001-08-03,165335153,115,16.723918,6.5,1429,1813,5823,33656,17242,1210,16855,6692,12901,25540,115730,1201,-1,-1
39939,Super Troopers,3000000,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Fox Searchlight Pictures and Broken Lizard Industries and ,2001-01-18,18492362,100,12.80931,6.6,441,52049,52051,56251,56253,1248,56252,56595,1935252,84763,5375,52049,-1,-1
10865,Atlantis: The Lost Empire,120000000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,en,Walt Disney Animation Studios and Walt Disney Pictures and ,2001-06-02,186053725,95,12.50783,6.7,1645,521,35219,52300,16896,4251,56853,1749,161860,49818,84323,62047,62048,-1
9398,Zoolander,28000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Tenth Planet Productions and Paramount and Village Roadshow Pictures and VH1 Television and NPV Entertainment and Scott Rudin Productions and Red Hour Films and MFP Munich Film Partners GmbH & Company I. Produktions KG and Red Hour Productions and ,2001-09-28,60780981,89,12.382165,6.1,1714,7399,887,15286,23659,63,26042,12640,10127,52860,203809,7399,-1,-1
9378,Thir13en Ghosts,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,en,Dark Castle Entertainment and 13 Ghosts Productions Canada Inc. and Columbia Pictures and Warner Bros. Pictures and ,2001-10-26,0,91,11.652923,5.5,564,4252,6368,26457,21596,21360,1003356,238825,1164,62911,229167,57521,-1,-1
10866,Joy Ride,23000000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,en,Epsilon Motion Pictures and Regency Enterprises and LivePlanet and Bad Robot and New Regency Pictures and ,2001-10-05,36642838,97,11.53815,6.3,419,18324,8167,22290,67538,156011,16754,154838,154996,552465,149526,21053,-1,-1
18269,Lady and the Tramp II: Scamp's Adventure,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,en,Walt Disney Television Animation and ,2001-02-18,0,69,11.510816,6.0,371,24965,24967,9046,34982,63978,34398,1937,4689,14702,30695,58829,58830,-1
2043,Along Came a Spider,60000000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,en,Paramount and AZL Productions KG and David Brown Productions and MFP Munich Film Partners and Phase 1 Productions and Revelations Entertainment and ,2001-04-06,105178561,104,10.737983,6.1,530,192,2140,7486,19152,21027,21028,6067,21029,21030,14698,7256,-1,-1
1391,Y Tu Mamá También,5000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,es,Bésame Mucho Pictures and Producciones Anhelo and ,2001-06-08,33616692,106,10.580185,7.3,399,258,8688,16971,17088,224320,7375,229615,947768,263,1733304,11218,-1,-1
10054,Spy Kids,35000000,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,Troublemaker Studios and Dimension Films and Miramax and ,2001-03-18,147934180,88,10.492438,5.6,1193,57674,57675,3131,17832,10697,10742,11159,11160,418,4252,2294,-1,-1
9889,Shallow Hal,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,20th Century Fox and ,2001-11-01,141069860,114,10.480104,5.8,991,12052,70851,1206,60023,14888,283444,65239,60672,78837,162924,7395,7396,-1
11770,Shaolin Soccer,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cn,Star Overseas and Universe Entertainment and ,2001-07-12,42776760,113,10.457326,6.7,639,57607,70437,544796,77304,956575,1136808,1265974,1173223,545277,57831,57607,-1,-1
8007,Behind Enemy Lines,40000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,en,Davis Entertainment and 20th Century Fox and ,2001-11-17,91753202,106,10.388202,6.0,553,887,193,16856,53572,18181,53573,22462,86151,137336,61855,12028,-1,-1
23685,Monkeybone,75000000,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,1492 Pictures and Twitching Image Studio and 20th Century Fox and ,2001-02-23,5409517,93,10.277136,4.2,105,18269,2233,1241,58317,4808,16850,21290,52119,59410,2395,57646,-1,-1
1364,Sex and Lucia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,es,Alicia Produce S L and StudioCanal and Canal+ España and Sociedad General de Cine (SOGECINE) S.A. and Sogepaq and Televisión Española TVE and ,2001-08-24,2628241,128,10.179315,6.6,171,3627,16441,16442,16443,3623,16444,16445,1610,1284938,-1,16435,-1,-1
2749,15 Minutes,60000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,New Line Cinema and Industry Entertainment and Tribeca Productions and New Redemption Pictures and ,2001-03-01,56359980,120,10.158213,5.7,245,380,6885,12833,7090,822,21657,2109,58563,46393,21028,27846,-1,-1
1933,The Others,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,en,Cruise/Wagner Productions and Canal+ and Sogecine and Las Producciones del Escorpion and Lucky Red and Dimension Films and Miramax and ,2001-08-02,0,101,9.958691,7.4,2209,2227,2040,20051,20052,20053,20054,20055,20056,20057,20058,19840,-1,-1
10992,Cats & Dogs,60000000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,Village Roadshow Pictures and NPV Entertainment and Mad Chance and Zide-Perry Productions and BenderSpink and Warner Bros. Pictures and ,2001-07-04,93375151,87,9.896645,5.1,501,4785,20,67817,6199,2219,7447,4038,10017,15831,-1,64191,-1,-1
11397,Not Another Teen Movie,16000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Neal H. Moritz Productions and Original Film and Columbia Pictures and ,2001-12-07,66468332,89,9.831148,5.4,574,69210,16828,56824,29020,18658,22082,52365,21625,19664,36137,57604,-1,-1
1535,Spy Game,115000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Universal Pictures and Metropolitan Filmexport and Toho-Towa and Beacon Communications and Kalima Productions GmbH & Co. KG and Red Wagon Productions and ,2001-11-18,143049560,126,9.779561,6.8,725,4135,287,2462,8435,17351,17352,17353,17354,17355,17356,893,-1,-1
12600,Pokémon 4Ever: Celebi - Voice of the Forest,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,ja,,2001-07-06,28023563,75,9.77856,5.9,105,67830,67832,73043,73044,-1,-1,-1,-1,-1,-1,73051,65429,-1
11470,Jason X,11000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,en,New Line Cinema and Crystal Lake Entertainment and Sean S. Cunningham Films and ,2001-07-24,16951798,91,9.666434,4.6,372,62596,69574,69575,69576,224,180916,23534,44176,85926,61117,69579,-1,-1
9397,Evolution,80000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,"Montecito Picture Company, The and Columbia Pictures and DreamWorks and ",2001-06-08,98376292,101,9.515744,5.7,842,12640,1231,18270,57599,15854,707,15232,94853,7404,15012,8858,-1,-1
1365,Monster's Ball,4000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Lions Gate Films and Lee Daniels Entertainment and ,2001-11-11,44909486,111,9.474913,6.6,322,879,4587,1810,16450,16451,1039,16452,16453,16454,4239,12995,-1,-1
9705,Swordfish,102000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Village Roadshow Pictures and Silver Pictures and Jonathan Krane Group and NPV Entertainment and Warner Bros. Pictures and ,2001-06-07,147080413,99,9.428327,6.1,1147,8891,6968,4587,1896,9880,980,70767,25848,7471,177918,58498,-1,-1
768,From Hell,35000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,en,Underworld Entertainment and 20th Century Fox and ,2001-10-19,74558115,122,9.413636,6.6,1007,85,69122,65,1923,385,973,1641,25656,42571,80365,11447,11448,-1
6312,Brotherhood of the Wolf,29000000,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,fr,TF1 Films Production and Davis-Films and Eskwad and Natexis Banques Populaires Images and Studio Image Soficas and Canal+ and ,2001-01-31,70752904,137,9.356506,6.6,514,49025,1925,23671,28782,51325,18702,24381,6304,53904,20030,8296,-1,-1
12589,Jimmy Neutron: Boy Genius,25000000,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,en,Nickelodeon Movies and Universal Cartoon Studios and Paramount Animation and ,2001-12-21,80936232,83,9.353962,5.5,294,73016,53570,60258,59782,2387,519,15831,43125,78799,113918,60237,-1,-1
3172,Bandits,75000000,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,en,Epsilon Motion Pictures and Hyde Park Entertainment and Empire Pictures and Lotus Pictures and Baltimore Spring Creek Productions and Cheyenne Enterprises and Metro-Goldwyn-Mayer and ,2001-10-12,67631903,123,9.339727,6.1,379,62,879,112,31711,31712,31713,31714,31715,31716,31717,8246,-1,-1
1999,In the Bedroom,1700000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,en,Miramax Films and GreeneStreet/SKE Films and ,2001-11-23,0,130,9.186515,6.5,114,207,5606,6408,3141,15338,20542,650,1989,20543,20544,5010,-1,-1
2100,The Last Castle,72000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,en,DreamWorks and ,2001-10-19,27642707,131,8.996654,6.9,360,4135,4691,103,21530,18792,3137,21532,21533,21535,5365,21526,-1,-1
1433,The Devil's Backbone,4500000,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,es,Producciones Anhelo and Canal+ España and Tequila Gang and El Deseo S.A. and Sogepaq and ,2001-04-20,6459020,106,8.989607,7.2,377,17093,17094,954,17095,17096,17097,17098,1605,17099,17100,10828,-1,-1
9896,Rat Race,48000000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Fireworks Pictures and Paramount and Alphaville Films and Zucker Productions and ,2001-08-17,85498534,112,8.989276,6.0,651,9777,13922,2395,33654,20189,8930,4201,58381,206202,16165,3415,-1,-1
9778,Serendipity,28000000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,Tapestry Films and Miramax Films and Simon Fields Productions and ,2001-10-05,77516304,90,8.973183,6.6,679,3036,3967,12799,18354,26510,59165,59166,59167,59170,36816,36804,-1,-1
17612,Lost and Delirious,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Cité-Amérique and Dummett Films and ,2001-01-21,0,103,8.927495,6.9,165,15555,82096,11617,61185,65471,6804,84247,27561,31383,7002,135534,-1,-1
8922,Jeepers Creepers,10000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,en,United Artists and American Zoetrope and Cinerenta Medienbeteiligungs KG and Cinerenta-Cinebeta and VCL Communications and ,2001-07-01,59217789,90,8.915762,6.2,956,56356,15033,56357,56358,39015,36637,955065,215118,943484,948289,56349,-1,-1
19405,Recess: School's Out,10000000,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,en,Walt Disney Television Animation and ,2001-01-27,44460850,83,8.885804,6.4,89,158165,166818,129388,55961,21063,12850,128621,78501,60741,16479,141706,-1,-1
10950,I Am Sam,22000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,New Line Cinema and ,2001-12-28,92542418,132,8.756938,7.3,724,2228,1160,1902,501,31028,18284,65760,4784,1235193,1407026,16853,-1,-1
2140,Kiss of the Dragon,25000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Immortal Entertainment and EuropaCorp and Quality Growth International Ltd. and Current Entertainment and 20th Century Fox and Canal+ and ,2001-07-06,64437847,98,8.723564,6.4,365,1336,2233,10698,21942,11397,21944,21945,21946,1847200,61584,21931,-1,-1
8489,Ali,107000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,Columbia Pictures and ,2001-12-11,87713825,157,8.673604,6.7,585,2888,134,10127,16214,21399,2954,34,9575,18286,39977,638,-1,-1
11232,Kate & Leopold,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,en,Konrad Pictures and Miramax Films and ,2001-12-25,0,118,8.664632,6.0,539,5344,6968,23626,33654,10871,11367,129996,8978,21882,159869,366,-1,-1
10796,The One,49000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,en,Wonder works studios entertainment group and Columbia Pictures and Revolution Studios and Hard Eight Pictures and ,2001-11-02,72700000,87,8.626522,5.7,546,1336,976,17832,18792,62003,52476,129124,10137,92777,538,57134,-1,-1
12138,3000 Miles to Graceland,62000000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Morgan Creek Productions and Franchise Pictures and Warner Bros. Pictures and ,2001-02-23,18720175,125,8.521547,5.7,224,6856,1269,14405,2224,7166,15234,16165,126418,19159,71913,71418,-1,-1
10984,Valentine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,en,NPV Entertainment and Village Roadshow Pictures and Warner Bros. Pictures and ,2001-02-01,0,96,8.505226,4.9,147,9205,25934,6407,2205,22126,25541,41558,65808,203511,73589,59958,-1,-1
11091,Riding in Cars with Boys,48000000,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Gracie Films and Columbia Pictures and ,2001-10-19,35743308,132,8.408272,6.5,141,69597,18324,28472,328,33235,21620,11478,4512,142293,1579,14911,-1,-1
11469,Black Knight,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,"Epsilon Motion Pictures and Regency Enterprises and New Regency Pictures and Runteldat Entertainment and Firm, The and 20th Century Fox and ",2001-11-21,0,95,8.365394,5.2,371,78029,36219,207,9831,15028,121939,27116,71824,94627,1614360,40243,-1,-1
10778,The Man Who Wasn't There,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,en,The KL Line and ,2001-05-13,0,116,8.353625,7.4,474,879,3910,1010,4691,1245,4253,28633,4252,170185,-1,1223,-1,-1
12610,Osmosis Jones,75000000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,Conundrum Entertainment and Warner Bros. Animation and Warner Bros. Pictures and ,2001-08-07,13596911,95,8.35242,6.0,317,2632,2975,11076,33285,1532,28640,1748,6159,214701,84493,7395,7396,-1
9597,Vidocq,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,fr,RF2K Productions and TF1 Films Production and Studio Canal and Lions Gate and ,2001-09-12,0,98,8.326674,5.7,165,16927,19866,37918,18177,27980,20532,41206,6548,32949,35085,4586,-1,-1
10878,Saving Silverman,22000000,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,en,Village Roadshow Pictures and NPV Entertainment and Columbia Pictures and ,2001-02-09,19351569,90,8.306601,5.4,192,21593,18324,70851,2956,19275,8655,69669,22297,946293,158567,17494,-1,-1
2176,The Glass House,30000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,en,Original Film and ,2001-09-14,23619609,106,8.277248,5.5,264,22290,2882,1640,6905,1907,4940,38026,38085,77003,61216,12632,-1,-1
10829,Tremors 3: Back to Perfection,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,en,Stampede Entertainment and Universal Family and Home Entertainment and ,2001-10-02,0,104,8.276744,5.3,186,67015,67017,67020,14794,4788,166606,73456,75344,1213791,21414,26475,-1,-1
10956,Joe Dirt,17700000,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,en,Happy Madison Productions and Columbia Pictures and ,2001-04-10,30987695,91,8.26869,5.5,291,60950,35476,18326,33527,56824,10430,4690,165867,17190,1910,66960,-1,-1
2575,The Tailor of Panama,21000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,en,Merlin Films and Columbia Pictures and ,2001-02-11,28008462,109,8.266009,6.1,133,517,118,8944,10839,2039,26157,2462,10980,26161,54014,19665,-1,-1
1921,Sweet November,40000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Bel Air Entertainment and Warner Bros. Pictures and ,2001-02-16,65754228,119,8.205082,6.5,399,6384,6885,11355,19974,16858,19975,8924,19976,19977,19978,19969,-1,-1
10877,Exit Wounds,50000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Village Roadshow Pictures and NPV Entertainment and Warner Bros. Pictures and ,2001-03-13,79958599,101,8.187228,5.3,136,23880,21355,21353,18471,1103,64856,50877,74036,14888,37205,10765,-1,-1
26602,Summer Catch,34000000,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,Tollin/Robbins Productions and Warner Bros. Pictures and ,2001-08-22,19693891,108,8.147968,5.0,75,33260,10860,10430,26457,6197,48012,328,52374,46772,-1,53178,-1,-1
2018,The Wedding Planner,35000000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,Tapestry Films and Dee Gee Entertainment and IMF Internationale Medien und Film GmbH & Co. Produktions KG and Intermedia Films and Prufrock Pictures and Columbia Pictures and ,2001-01-26,94728529,103,8.09278,5.5,562,16866,10297,20746,20747,20748,11074,20749,20750,20751,20752,20739,-1,-1
2171,Wet Hot American Summer,5000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Eureka Pictures and ,2001-07-27,295206,97,8.072943,6.4,322,21197,11076,22215,22223,22226,6212,22227,22225,28640,175834,22214,-1,-1
