movie,year,category,nominee,winner
The Descendants,2011,BEST PICTURE,1,0
Extremely Loud & Incredibly Close,2011,BEST PICTURE,1,0
The Help,2011,BEST PICTURE,1,0
Hugo,2011,BEST PICTURE,1,0
Midnight in Paris,2011,BEST PICTURE,1,0
Moneyball,2011,BEST PICTURE,1,0
The Tree of Life,2011,BEST PICTURE,1,0
War Horse,2011,BEST PICTURE,1,0
Brave,2012,ANIMATED FEATURE FILM,0,1
Frankenweenie,2012,ANIMATED FEATURE FILM,1,0
ParaNorman,2012,ANIMATED FEATURE FILM,1,0
The Pirates! Band of Misfits,2012,ANIMATED FEATURE FILM,1,0
Wreck-It Ralph,2012,ANIMATED FEATURE FILM,1,0
Amour,2012,BEST PICTURE,1,0
Argo,2012,BEST PICTURE,0,1
Beasts of the Southern Wild,2012,BEST PICTURE,1,0
Django Unchained,2012,BEST PICTURE,1,0
Les Misérables,2012,BEST PICTURE,1,0
Life of Pi,2012,BEST PICTURE,1,0
Lincoln,2012,BEST PICTURE,1,0
Silver Linings Playbook,2012,BEST PICTURE,1,0
Zero Dark Thirty,2012,BEST PICTURE,1,0
The Croods,2013,ANIMATED FEATURE FILM,1,0
Despicable Me 2,2013,ANIMATED FEATURE FILM,1,0
Ernest & Celestine,2013,ANIMATED FEATURE FILM,1,0
Frozen,2013,ANIMATED FEATURE FILM,0,1
The Wind Rises,2013,ANIMATED FEATURE FILM,1,0
American Hustle,2013,BEST PICTURE,1,0
Captain Phillips,2013,BEST PICTURE,1,0
Dallas Buyers Club,2013,BEST PICTURE,1,0
Gravity,2013,BEST PICTURE,1,0
Her,2013,BEST PICTURE,1,0
Nebraska,2013,BEST PICTURE,1,0
Philomena,2013,BEST PICTURE,1,0
12 Years a Slave,2013,BEST PICTURE,0,1
The Wolf of Wall Street,2013,BEST PICTURE,1,0
Big Hero 6,2014,ANIMATED FEATURE FILM,0,1
The Boxtrolls,2014,ANIMATED FEATURE FILM,1,0
How to Train Your Dragon 2,2014,ANIMATED FEATURE FILM,1,0
Song of the Sea,2014,ANIMATED FEATURE FILM,1,0
The Tale of the Princess Kaguya,2014,ANIMATED FEATURE FILM,1,0
American Sniper,2014,BEST PICTURE,1,0
Birdman or (The Unexpected Virtue of Ignorance),2014,BEST PICTURE,0,1
Boyhood,2014,BEST PICTURE,1,0
The Grand Budapest Hotel,2014,BEST PICTURE,1,0
The Imitation Game,2014,BEST PICTURE,1,0
Selma,2014,BEST PICTURE,1,0
The Theory of Everything,2014,BEST PICTURE,1,0
Whiplash,2014,BEST PICTURE,1,0
Anomalisa,2015,ANIMATED FEATURE FILM,1,0
Boy and the World,2015,ANIMATED FEATURE FILM,1,0
Inside Out,2015,ANIMATED FEATURE FILM,0,1
Shaun the Sheep Movie,2015,ANIMATED FEATURE FILM,1,0
When Marnie Was There,2015,ANIMATED FEATURE FILM,1,0
The Big Short,2015,BEST PICTURE,1,0
Bridge of Spies,2015,BEST PICTURE,1,0
Brooklyn,2015,BEST PICTURE,1,0
Mad Max: Fury Road,2015,BEST PICTURE,1,0
The Martian,2015,BEST PICTURE,1,0
The Revenant,2015,BEST PICTURE,1,0
Room,2015,BEST PICTURE,1,0
Spotlight,2015,BEST PICTURE,0,1
Kubo and the Two Strings,2016,ANIMATED FEATURE FILM,1,0
Moana,2016,ANIMATED FEATURE FILM,1,0
My Life as a Zucchini,2016,ANIMATED FEATURE FILM,1,0
The Red Turtle,2016,ANIMATED FEATURE FILM,1,0
Zootopia,2016,ANIMATED FEATURE FILM,0,1
Arrival,2016,BEST PICTURE,1,0
Fences,2016,BEST PICTURE,1,0
Hacksaw Ridge,2016,BEST PICTURE,1,0
Hell or High Water,2016,BEST PICTURE,1,0
Hidden Figures,2016,BEST PICTURE,1,0
La La Land,2016,BEST PICTURE,1,0
Lion,2016,BEST PICTURE,1,0
Manchester by the Sea,2016,BEST PICTURE,1,0
Moonlight,2016,BEST PICTURE,0,1
The Boss Baby,2017,ANIMATED FEATURE FILM,1,0
The Breadwinner,2017,ANIMATED FEATURE FILM,1,0
Coco,2017,ANIMATED FEATURE FILM,0,1
Ferdinand,2017,ANIMATED FEATURE FILM,1,0
Loving Vincent,2017,ANIMATED FEATURE FILM,1,0
Call Me by Your Name,2017,BEST PICTURE,1,0
Darkest Hour,2017,BEST PICTURE,1,0
Dunkirk,2017,BEST PICTURE,1,0
Get Out,2017,BEST PICTURE,1,0
Lady Bird,2017,BEST PICTURE,1,0
Phantom Thread,2017,BEST PICTURE,1,0
The Post,2017,BEST PICTURE,1,0
The Shape of Water,2017,BEST PICTURE,0,1
"Three Billboards Outside Ebbing, Missouri",2017,BEST PICTURE,1,0
